experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
test_quick_run,123,2.0,16.0,2.0,0.2,False,data/manifest.csv,True,True,100.0,"['high', 'medium']","['grunt', 'growl']",data\splits,['train'],data\manifest.csv,123.0,0.65,0.8,0.877,0.837,0.861,0.916,0.953,0.85,0.943,1.0,0.971,0.943,0.518,0.078,2025-10-28T17:33:29.732118Z,010c1110a2a8ceec861c17bce9c8a305478928dc,0.0,8000.0,0.0,8000.0,1.0,,,,,,,,,,,,
01_baseline,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,data\splits,['train'],data\manifest.csv,123.0,0.05,0.955,0.981,0.968,0.979,0.988,0.993,1.0,0.884,0.742,0.807,0.827,0.849,0.782,2025-10-28T17:20:20.192191Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,,,,,,,,,,,,,,,,,
000_OldModel2024_baseline_mc25_sens100_seed01,1,,,,,,data/manifest.csv,,,,,,,,,,0.95,0.957,0.699,0.808,0.939,0.939,0.975,1.0,0.697,0.868,0.773,0.773,0.845,0.832,2025-10-28T18:51:59.839122Z,,,,0.0,15000.0,1.0,,0.0,,,,,,,,,,
000_OldModel2024_baseline_mc25_sens50_seed01,1,,,,,,data/manifest.csv,,,,,,,,,,0.95,0.766,0.524,0.622,0.933,0.945,0.991,1.0,0.554,0.952,0.7,0.675,0.838,0.876,2025-10-28T19:32:21.758823Z,,,,0.0,15000.0,0.5,,0.0,,,,,,,,,,
sweep_078,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.7,0.774,0.984,0.867,0.89,0.922,0.945,0.45,0.806,0.989,0.888,0.859,0.845,0.828,2025-10-28T17:33:02.452082Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,False,,,0.0005,1024.0,True,0.5,True,linear,0.25
sweep_079,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.75,0.712,0.934,0.808,0.852,0.907,0.945,0.5,0.813,0.914,0.861,0.844,0.875,0.867,2025-10-28T17:33:03.821341Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,True,1.0,0.5,0.0005,1024.0,True,0.5,True,linear,0.5
sweep_080,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,1.0,0.687,0.964,0.802,0.842,0.911,0.943,1.0,0.784,0.964,0.865,0.841,0.883,0.867,2025-10-28T17:33:05.336974Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,False,,,0.0005,1024.0,True,0.5,True,linear,0.5
sweep_081,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,1.0,0.637,0.974,0.77,0.824,0.895,0.952,1.0,0.752,0.942,0.837,0.852,0.895,0.918,2025-10-28T17:33:06.764593Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,True,1.0,0.5,0.0001,2048.0,True,0.25,True,linear,0.25
sweep_082,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.75,0.568,0.947,0.71,0.751,0.826,0.898,0.05,0.721,0.98,0.831,0.79,0.786,0.779,2025-10-28T17:33:08.168726Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,False,,,0.0001,2048.0,True,0.25,True,linear,0.25
sweep_083,123,50.0,16.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123.0,0.05,0.633,0.99,0.772,0.806,0.854,0.903,0.05,0.717,0.992,0.832,0.788,0.778,0.766,2025-10-28T17:33:09.552283Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,,,0.0,8000.0,1.0,,0.5,True,1.0,0.5,0.0001,2048.0,True,0.25,True,linear,0.5
