experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.positive_subsets,dataset.filters.negative_subsets,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio,validation_package.used,validation_package.positive_count,validation_package.negative_count,validation_package.total_count
01_baseline,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,,,,,data\splits,['train'],data\manifest.csv,123.0,0.05,0.991,0.979,0.985,0.979,0.988,0.993,1.0,0.787,0.907,0.843,0.827,0.849,0.782,2025-12-08T17:40:48.461618Z,0eb0e0796f3b5b99c71f8b821a72bb0dd4c8c77b,,,,,,,,,,,,,,,,,,False,,,
000_OldModel2024_baseline_mc25_sens100_seed01,1,,,,,,data/manifest.csv,,,,,,,,,,,,0.95,0.936,0.993,0.963,0.939,0.939,0.975,0.95,0.638,0.987,0.775,0.683,0.845,0.832,2025-12-08T17:40:49.500042Z,,,,0.0,15000.0,1.0,,0.0,,,,,,,,,,,False,,,
000_OldModel2024_baseline_mc25_sens50_seed01,1,,,,,,data/manifest.csv,,,,,,,,,,,,0.7,0.939,0.994,0.966,0.937,0.945,0.991,0.95,0.694,0.945,0.8,0.716,0.838,0.876,2025-12-08T17:40:50.600157Z,,,,0.0,15000.0,0.5,,0.0,,,,,,,,,,,False,,,
stage10_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.98,0.808,0.886,0.847,0.913,0.965,0.05,0.984,0.856,0.915,0.907,0.956,0.967,2025-12-08T17:40:51.680585Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage10_002,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,456.0,0.95,0.881,0.917,0.899,0.862,0.942,0.968,1.0,0.983,0.701,0.819,0.854,0.929,0.932,2025-12-08T17:40:52.810287Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage10_003,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\top50'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,789.0,0.05,0.999,0.914,0.955,0.946,0.97,0.978,0.05,0.997,0.775,0.872,0.903,0.895,0.881,2025-12-08T17:40:53.836422Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.998,0.673,0.804,0.781,0.889,0.933,0.05,0.98,0.592,0.738,0.804,0.847,0.846,2025-12-08T17:40:55.170160Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_002,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",[],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.0,0.667,1.0,0.8,0.667,0.886,0.937,0.05,0.993,0.583,0.735,0.801,0.842,0.849,2025-12-08T17:40:56.222551Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_003,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardneg_conf_min_99'],,data\splits,['train'],data\manifest.csv,123.0,0.95,0.864,0.951,0.905,0.867,0.941,0.963,1.0,0.877,0.704,0.781,0.814,0.854,0.82,2025-12-08T17:40:57.246593Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
stage11_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",['AudioData\\curated\\bestLowQuality\\small'],['AudioData\\curated\\hardNeg\\hardnet_conf_min_85'],,data\splits,['train'],data\manifest.csv,123.0,0.05,0.968,0.7,0.812,0.784,0.871,0.931,0.05,0.953,0.677,0.791,0.832,0.884,0.895,2025-12-08T17:40:58.359090Z,dad5362c45c67caee177d17ecd5c8f9dc4290bd4,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,2.0,0.25,0.0005,512.0,True,0.25,True,repeat,0.0,False,,,
