experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage3_001,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.633,0,0,779,1342,1.0,0.619,0.999,0.764,0.774,778,479,1,863,,,,,,,,,,0.847,0.931,0.5,0.0,0.0,0.0,0.51,0,0,1038,1079,1.0,0.668,0.999,0.801,0.756,1037,515,1,564,,,,,,,,,,0.896,0.929,2025-09-26T16:46:23.033396Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_001,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage3_002,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.659,0,0,960,1855,1.0,0.254,0.15,0.188,0.56,144,424,816,1431,,,,,,,,,,0.459,0.639,0.5,0.0,0.0,0.0,0.466,0,0,1869,1628,1.0,0.368,0.088,0.142,0.432,165,283,1704,1345,,,,,,,,,,0.457,0.443,2025-09-26T17:09:39.878359Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_002,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage3_003,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.725,0,0,605,1599,1.0,0.6,0.98,0.744,0.815,593,396,12,1203,,,,,,,,,,0.895,0.96,0.5,0.0,0.0,0.0,0.631,0,0,780,1333,1.0,0.664,0.99,0.795,0.812,772,390,8,943,,,,,,,,,,0.874,0.937,2025-09-26T17:38:38.634791Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_003,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.0
stage3_004,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.672,0,0,908,1859,1.0,0.533,0.848,0.655,0.707,770,674,138,1185,,,,,,,,,,0.699,0.83,0.5,0.0,0.0,0.0,0.465,0,0,1816,1578,1.0,0.702,0.881,0.781,0.736,1600,679,216,899,,,,,,,,,,0.679,0.685,2025-09-27T05:40:11.889656Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_004,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0
stage3_005,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.652,0,0,926,1732,0.9,0.441,0.927,0.597,0.565,858,1088,68,644,,,,,,,,,,0.633,0.812,0.5,0.0,0.0,0.0,0.455,0,0,1776,1484,0.9,0.614,0.938,0.742,0.644,1666,1049,110,435,,,,,,,,,,0.623,0.658,2025-09-27T06:01:08.554283Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_005,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0
stage3_006,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.66,0,0,1109,2156,0.9,0.512,0.687,0.587,0.671,762,726,347,1430,,,,,,,,,,0.711,0.833,0.5,0.0,0.0,0.0,0.486,0,0,1926,1823,1.0,0.514,1.0,0.679,0.514,1926,1823,0,0,,,,,,,,,,0.506,0.557,2025-09-27T06:20:28.423011Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_006,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.0
stage3_007,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.625,0,0,1160,1935,1.0,0.543,0.989,0.701,0.684,1147,965,13,970,,,,,,,,,,0.728,0.857,0.5,0.0,0.0,0.0,0.486,0,0,1833,1732,1.0,0.669,0.996,0.8,0.744,1826,905,7,827,,,,,,,,,,0.716,0.791,2025-09-27T06:38:41.391184Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_007,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.1
stage3_008,456,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,456,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.757,0,0,602,1871,1.0,0.461,0.998,0.631,0.716,601,702,1,1169,,,,,,,,,,0.858,0.957,0.5,0.0,0.0,0.0,0.491,0,0,1643,1582,1.0,0.642,0.739,0.687,0.657,1214,678,429,904,,,,,,,,,,0.631,0.615,2025-09-27T06:56:41.512099Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_008,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.1
stage3_009,789,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,789,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.73,0,0,687,1854,1.0,0.494,0.943,0.648,0.723,648,664,39,1190,,,,,,,,,,0.792,0.915,0.5,0.0,0.0,0.0,0.489,0,0,1464,1403,1.0,0.744,0.935,0.829,0.803,1369,471,95,932,,,,,,,,,,0.776,0.804,2025-09-27T07:14:20.975283Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_009,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,repeat,0.1
stage3_010,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.655,0,0,873,1654,0.95,0.503,0.658,0.57,0.657,574,568,299,1086,,,,,,,,,,0.713,0.877,0.5,0.0,0.0,0.0,0.494,0,0,1532,1496,0.95,0.68,0.832,0.749,0.717,1275,599,257,897,,,,,,,,,,0.737,0.811,2025-09-27T07:32:38.364476Z,9dfc2d5a15c32d8f91787ad18f99b49decf8cacb,TylerSchwenksPC,tyler,experiments\stage3_010,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,0.0,0.0,0.0005,,512.0,True,0.25,True,linear,0.1
