experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage4_001,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,0.05,0.498,0.971,0.658,0.744,0.828,0.915,0.05,0.753,0.994,0.857,0.845,0.856,0.866,2025-10-28T17:28:25.056630Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.0
stage4_002,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,0.75,0.516,0.96,0.671,0.687,0.709,0.87,0.8,0.684,0.977,0.805,0.75,0.718,0.778,2025-10-28T17:28:26.581726Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.0
stage4_003,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,0.05,0.48,0.999,0.648,0.646,0.737,0.829,0.05,0.674,0.999,0.805,0.724,0.679,0.634,2025-10-28T17:28:27.968917Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.0
stage4_004,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,0.05,0.511,0.993,0.675,0.681,0.761,0.842,0.05,0.684,0.997,0.811,0.755,0.741,0.726,2025-10-28T17:28:29.339418Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.3
stage4_005,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,0.05,0.49,0.985,0.655,0.673,0.761,0.851,0.05,0.691,0.997,0.816,0.748,0.713,0.677,2025-10-28T17:28:30.747063Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.3
stage4_006,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,0.05,0.499,0.999,0.666,0.664,0.748,0.831,0.05,0.663,1.0,0.797,0.729,0.711,0.692,2025-10-28T17:28:32.259396Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.3
stage4_007,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,0.7,0.51,0.985,0.672,0.68,0.743,0.861,0.7,0.685,0.985,0.808,0.753,0.736,0.756,2025-10-28T17:28:33.615921Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.5
stage4_008,456,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,456.0,0.6,0.507,0.99,0.67,0.677,0.76,0.851,0.55,0.681,0.984,0.805,0.747,0.741,0.731,2025-10-28T17:28:35.055885Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.5
stage4_009,789,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,789.0,0.05,0.524,0.993,0.686,0.696,0.771,0.848,0.05,0.701,0.999,0.824,0.774,0.76,0.746,2025-10-28T17:28:36.514466Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,repeat,0.5
stage4_010,123,50.0,32.0,4.0,0.2,False,data/manifest.csv,True,True,,['high'],"['grunt', 'growl', 'both']",data\splits,['train'],data\manifest.csv,123.0,0.75,0.492,0.952,0.649,0.705,0.79,0.896,0.6,0.692,0.979,0.811,0.783,0.807,0.824,2025-10-28T17:28:37.888911Z,469e3616267207698b94bf924f4e309fbb95ddcb,0.0,15000.0,0.0,15000.0,1.0,0.0,0.0,False,0.0,0.0,0.0005,512.0,True,0.25,True,linear,0.0
